Section,Alert_ID,Title,Query
A,A1,GC AI Strategy (Federal Public Service),"(""AI Strategy"" OR ""Artificial Intelligence Strategy"") (""Federal Public Service"" OR ""Government of Canada"" OR GC) (2025 OR 2026 OR 2027)"
A,A2,Responsible use of AI (Canada.ca),"(""Responsible use of AI"" OR ""Responsible use of artificial intelligence"") site:canada.ca"
A,A3,Guide on the use of generative AI (Canada.ca),"(""Guide on the use of generative artificial intelligence"" OR ""Guide on the use of generative AI"") site:canada.ca"
A,A4,Directive on Automated Decision-Making (TBS),"(""Directive on Automated Decision-Making"" OR ""Directive sur la prise de décision automatisée"") site:tbs-sct.canada.ca"
A,A5,Algorithmic Impact Assessment (AIA),"(""Algorithmic Impact Assessment"" OR ""Évaluation de l’incidence algorithmique"") site:canada.ca"
A,A6,GC AI Register (Open Government),"(""AI Register"" OR ""Registre de l’IA"") site:open.canada.ca"
A,A7,Peer review of automated decision systems,"(""Peer Review"" AND (""Automated Decision Systems"" OR ""Systèmes décisionnels automatisés"")) site:canada.ca"
A,A8,Guiding principles for AI in government,"(""Guiding principles"" AND AI AND government) site:canada.ca"
A,A9,Generative AI in your daily work,"(""Generative AI in your daily work"" OR ""IA générative au quotidien"") site:canada.ca"
B,B1,Microsoft Copilot Chat policy and GC adoption,"(""Microsoft Copilot chat"" OR ""Copilot Chat"") (""Government of Canada"" OR GC OR ""federal public service"")"
B,B2,Copilot for Work / M365 Copilot on Canada.ca,"(""Copilot for Work"" OR ""M365 Copilot"") site:canada.ca"
B,B3,Copilot and Protected B status (GC),"(""Copilot"" AND ""Protected B"") (""Government of Canada"" OR GC)"
B,B4,CanChat (SSC),"(""CanChat"" AND (SSC OR ""Shared Services Canada""))"
B,B5,Radia (ISED),"(""Radia"" AND (ISED OR ""Innovation, Science and Economic Development""))"
B,B6,AI Zone (NRC),"(""AI Zone"" AND (NRC OR ""National Research Council""))"
C,C1,CanadaBuys: GenAI + SSC,"site:canadabuys.canada.ca (""generative AI"" OR ""GenAI"") (SSC OR ""Shared Services Canada"")"
C,C2,CanadaBuys: ITQ181037,"site:canadabuys.canada.ca (ITQ181037 OR ""Generative AI for Back Office Productivity Solutions"")"
C,C3,CanadaBuys: AI Source List,"site:canadabuys.canada.ca (""Artificial Intelligence Source List"" OR (""source list"" AND ""artificial intelligence""))"
C,C4,Standing offers / supply arrangements for AI,"(""standing offer"" OR ""supply arrangement"") (""generative AI"" OR ""AI"") site:canadabuys.canada.ca"
D,D1,AI Accelerator (NRC),"(""AI Accelerator"" AND (NRC OR ""National Research Council"") AND ""Government of Canada"")"
D,D2,AI Answers pilot,"(""AI Answers"" AND Canada AND pilot) site:canada.ca"
D,D3,GC AI communities (broad),"(""GC AI Forum"" OR ""AI Community of Practice"" OR ""GC AI Hub"")"
D,D4,AI Learning Hub (GCXchange),"(""AI Learning Hub"" AND GCXchange)"
D,D5,GC AI Ecosystem placemat (PDF),"(""AI Ecosystem"" AND ""Government of Canada"" filetype:pdf)"
E,E1,AI governance frameworks (general),"(""AI governance"" OR ""responsible AI governance"") (framework OR playbook OR standard)"
E,E2,AIDG Standardization Hub (Canada),"(""Artificial Intelligence and Data Governance"" OR AIDG) (Canada OR ""Standards Council of Canada"")"
E,E3,AI model validation (audit/assurance),"(""AI model validation"" AND (KPMG OR Deloitte OR ""internal audit""))"
E,E4,NIST AI RMF Govern,"(""NIST"" AND (""AI RMF"" OR ""AI Risk Management Framework"") AND (govern OR playbook))"
E,E5,Shadow AI agents (governance),"(""shadow AI agents"" AND governance)"
F,F1,Canadian Artificial Intelligence Safety Institute,"(""Canadian Artificial Intelligence Safety Institute"" OR CAISI) site:ised-isde.canada.ca"
F,F2,UK AI Security Institute,"(""AI Security Institute"" OR AISI) UK"
F,F3,NIST CAISI (US),"(""NIST"" AND CAISI AND ""AI standards"")"
F,F4,NSA Artificial Intelligence Security Center,"(""Artificial Intelligence Security Center"" OR AISC) NSA"
F,F5,AI data security best practices (PDF),"(""AI data security"" AND ""best practices"" filetype:pdf)"
F,F6,AI Incident Database,"(""AI incident database"" OR incidentdatabase.ai) (update OR report OR release)"
G,G1,Canada AI regulation,"(""AI regulation"" OR ""AI law"") (Canada OR ""Government of Canada"")"
G,G2,AI regulatory sandboxes,"(""AI regulatory sandbox"" OR (""regulatory sandbox"" AND AI))"
G,G3,AI Watch global regulatory tracker,"(""AI Watch"" AND ""global regulatory tracker"")"
G,G4,AI Tracker (law/policy) global,"(""AI Tracker"" AND (law OR policy) AND global)"
